component_id,name,kind,project,backend,mapped_public_sources,covered,n_sources,category,mapped_to_source,note
origenemcp.tool.get_assay_summary_by_sid,get_assay_summary_by_sid,tool,OrigeneMCP,mcp,pubchem,True,1,ROUTABLE - equivalent live public source available,True,
origenemcp.tool.get_functional_annotation,get_functional_annotation,tool,OrigeneMCP,mcp,uniprot;ncbi_eutils;clinicaltrials;kegg,True,4,ROUTABLE - equivalent live public source available,True,
origenemcp.tool.get_phenotype_accession,get_phenotype_accession,tool,OrigeneMCP,mcp,ensembl,True,1,ROUTABLE - equivalent live public source available,True,
origenemcp.tool.get_phenotype_gene,get_phenotype_gene,tool,OrigeneMCP,mcp,ensembl,True,1,ROUTABLE - equivalent live public source available,True,
origenemcp.tool.get_publications_by_disease_efoid,get_publications_by_disease_efoId,tool,OrigeneMCP,mcp,ncbi_eutils;opentargets,True,2,ROUTABLE - equivalent live public source available,True,
origenemcp.tool.get_publications_by_disease_name,get_publications_by_disease_name,tool,OrigeneMCP,mcp,ncbi_eutils;openfda;opentargets,True,3,ROUTABLE - equivalent live public source available,True,
origenemcp.tool.get_publications_by_drug_chemblid,get_publications_by_drug_chemblId,tool,OrigeneMCP,mcp,ncbi_eutils;chembl;opentargets,True,3,ROUTABLE - equivalent live public source available,True,
origenemcp.tool.get_publications_by_drug_name,get_publications_by_drug_name,tool,OrigeneMCP,mcp,ncbi_eutils;openfda;opentargets,True,3,ROUTABLE - equivalent live public source available,True,
origenemcp.tool.get_publications_by_target_ensemblid,get_publications_by_target_ensemblID,tool,OrigeneMCP,mcp,ensembl;ncbi_eutils;opentargets,True,3,ROUTABLE - equivalent live public source available,True,
origenemcp.tool.get_publications_by_target_name,get_publications_by_target_name,tool,OrigeneMCP,mcp,ncbi_eutils;openfda;opentargets,True,3,ROUTABLE - equivalent live public source available,True,
geneagent.tool.get_pubmed_articles,get_pubmed_articles,tool,GeneAgent,python,ncbi_eutils,True,1,ROUTABLE - equivalent live public source available,True,
origenemcp.tool.get_similar_entities_by_disease_efoid,get_similar_entities_by_disease_efoId,tool,OrigeneMCP,mcp,ncbi_eutils;opentargets,True,2,ROUTABLE - equivalent live public source available,True,
origenemcp.tool.get_similar_entities_by_disease_name,get_similar_entities_by_disease_name,tool,OrigeneMCP,mcp,ncbi_eutils;openfda;opentargets,True,3,ROUTABLE - equivalent live public source available,True,
