component_id,name,kind,project,backend,lifecycle_state,executable_now,executable_via_public_source,fetchable,mapped_public_sources,category,blocking_reason,license_spdx
biomni.tool.create_registration_visualization,create_registration_visualization,tool,Biomni,python,UNAVAILABLE,False,False,False,,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',Apache-2.0
biomni.tool.create_segmentation_visualization,create_segmentation_visualization,tool,Biomni,python,UNAVAILABLE,False,False,False,,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',Apache-2.0
biomni.tool.prepare_input_for_nnunet,prepare_input_for_nnunet,tool,Biomni,python,UNAVAILABLE,False,False,False,,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',Apache-2.0
biomni.tool.quantify_corneal_nerve_fibers,quantify_corneal_nerve_fibers,tool,Biomni,python,UNAVAILABLE,False,False,False,,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',Apache-2.0
biomni.tool.quick_affine_registration,quick_affine_registration,tool,Biomni,python,UNAVAILABLE,False,False,False,,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',Apache-2.0
biomni.tool.quick_deformable_registration,quick_deformable_registration,tool,Biomni,python,UNAVAILABLE,False,False,False,,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',Apache-2.0
biomni.tool.quick_rigid_registration,quick_rigid_registration,tool,Biomni,python,UNAVAILABLE,False,False,False,,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',Apache-2.0
biomni.tool.segment_and_quantify_cells_in_multiplexed_images,segment_and_quantify_cells_in_multiplexed_images,tool,Biomni,python,UNAVAILABLE,False,False,False,,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',Apache-2.0
biomni.tool.segment_with_nn_unet,segment_with_nn_unet,tool,Biomni,python,UNAVAILABLE,False,False,False,,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',Apache-2.0
biomni.tool.split_modalities,split_modalities,tool,Biomni,python,UNAVAILABLE,False,False,False,,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',Apache-2.0
biomni.tool.advanced_web_search_claude,advanced_web_search_claude,tool,Biomni,python,UNAVAILABLE,False,False,False,,MISSING_UPSTREAM - upstream package not installed,import failed: ModuleNotFoundError: No module named 'biomni',Apache-2.0
stella.tool.biomedical_literature_analyzer,biomedical_literature_analyzer,tool,STELLA,python,UNAVAILABLE,False,False,False,,MISSING_DEPS - third-party imports absent,"missing python modules: smolagents, tools",Apache-2.0
stella.tool.disease_gene_search,disease_gene_search,tool,STELLA,python,UNAVAILABLE,False,False,False,,MISSING_DEPS - third-party imports absent,"missing python modules: dotenv, llm, markdownify, rapidfuzz, smolagents",Apache-2.0
stella.tool.gene2phenotype_search,gene2phenotype_search,tool,STELLA,python,UNAVAILABLE,False,False,False,,MISSING_DEPS - third-party imports absent,"missing python modules: dotenv, llm, markdownify, rapidfuzz, smolagents",Apache-2.0
origenemcp.tool.get_assay_summary_by_cid,get_assay_summary_by_cid,tool,OrigeneMCP,mcp,RESOLVED,False,True,False,pubchem,ROUTABLE - equivalent live public source available,dependencies satisfied,NONE
origenemcp.tool.get_assay_summary_by_sid,get_assay_summary_by_sid,tool,OrigeneMCP,mcp,RESOLVED,False,True,False,pubchem,ROUTABLE - equivalent live public source available,dependencies satisfied,NONE
origenemcp.tool.get_functional_annotation,get_functional_annotation,tool,OrigeneMCP,mcp,RESOLVED,False,True,False,uniprot;ncbi_eutils;clinicaltrials;kegg,ROUTABLE - equivalent live public source available,dependencies satisfied,NONE
origenemcp.tool.get_phenotype_accession,get_phenotype_accession,tool,OrigeneMCP,mcp,RESOLVED,False,True,False,ensembl,ROUTABLE - equivalent live public source available,dependencies satisfied,NONE
origenemcp.tool.get_phenotype_gene,get_phenotype_gene,tool,OrigeneMCP,mcp,RESOLVED,False,True,False,ensembl,ROUTABLE - equivalent live public source available,dependencies satisfied,NONE
